body,r_m,r_body_radii,A_Rs_over_r,grad_A_abs,g_from_STAM_gradient_m_s2,g_newton_m_s2,ratio_STAM_to_newton,relative_error_STAM_vs_newton
Earth,7396059.628049355,1.1608946206324524,1.1993011573631012e-09,1.6215406820339635e-16,7.28684042755228,7.286840427552279,1.0000000000000002,1.2188800187552248e-16
Earth,7415615.305643556,1.1639641038523867,1.1961384869972457e-09,1.612999646957064e-16,7.248458930016599,7.248458930016598,1.0000000000000002,1.2253341410573342e-16
Earth,7435222.689760608,1.1670417029917763,1.1929841568917004e-09,1.6045035995150685e-16,7.210279596830163,7.210279596830162,1.0000000000000002,1.231822438745084e-16
Earth,7454881.917116025,1.170127439509657,1.1898381450524118e-09,1.5960523027475521e-16,7.172301363145928,7.172301363145928,1.0,0.0
Earth,7474593.12478679,1.1732213349218004,1.1867004295433292e-09,1.5876455209422246e-16,7.134523169725685,7.134523169725684,1.0000000000000002,1.244902285087505e-16
Earth,7494356.450212374,1.1763234108008749,1.1835709884862414e-09,1.5792830196283253e-16,7.096943962910383,7.096943962910382,1.0000000000000002,1.2514941985478106e-16
Earth,7514172.031195599,1.1794336887765813,1.1804498000606403e-09,1.5709645655701286e-16,7.05956269459094,7.059562694590938,1.0000000000000002,2.516242034030382e-16
Earth,7534040.005903663,1.1825521905358127,1.1773368425035572e-09,1.562689926760407e-16,7.02237832217887,7.022378322178869,1.0000000000000002,1.2647829253160283e-16
Earth,7553960.512869089,1.1856789378228048,1.1742320941094149e-09,1.5544588724139714e-16,6.985389808577254,6.985389808577254,1.0,0.0
Earth,7573933.6909906715,1.188813952439283,1.1711355332298782e-09,1.5462711729612377e-16,6.948596122151828,6.948596122151828,1.0,0.0
Earth,7593959.679534511,1.1919572562446257,1.1680471382736935e-09,1.5381266000418002e-16,6.911996236702109,6.911996236702107,1.0000000000000002,2.569962104388813e-16
Earth,7614038.618134889,1.195108871156002,1.1649668877065524e-09,1.5300249264980995e-16,6.875589131432928,6.875589131432927,1.0000000000000002,1.2917851877443727e-16
Earth,7634170.646795305,1.1982688191485333,1.1618947600509321e-09,1.5219659263690623e-16,6.839373790925864,6.839373790925863,1.0000000000000002,1.2986253520439484e-16
Earth,7654355.905889439,1.201437122255445,1.158830733885948e-09,1.5139493748838055e-16,6.80334920511094,6.803349205110939,1.0000000000000002,1.305501735869873e-16
Earth,7674594.536162111,1.2046138025682172,1.1557747878472073e-09,1.5059750484553727e-16,6.76751436923848,6.767514369238479,1.0000000000000002,1.3124145310090688e-16
Earth,7694886.678730327,1.207798882236749,1.1527269006266491e-09,1.498042724674474e-16,6.7318682838509805,6.73186828385098,1.0000000000000002,1.3193639302640083e-16
Earth,7715232.475084168,1.2109923834694973,1.1496870509724119e-09,1.4901521823033204e-16,6.6964099547553975,6.696409954755397,1.0000000000000002,1.3263501274580616e-16
Earth,7735632.067087842,1.2141943285336434,1.1466552176886744e-09,1.4823032012694272e-16,6.661138392995305,6.661138392995304,1.0000000000000002,1.3333733174409238e-16
Earth,7756085.596980639,1.2174047397552408,1.143631379635513e-09,1.4744955626594896e-16,6.62605261482337,6.62605261482337,1.0,0.0
