catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_des,stam_mu_original,lcdm_mu,mu_cal_linear_z_to_union,resid_calibrated_to_STAM_union,resid_raw_to_STAM_union
DES,AT2016cor,0.05066,36.87577,0.1949,26.325481407497133,36.699384928908486,36.8455518431864,36.71573328953986,36.76409811771612,36.76825061845812,0.06886568954963224,0.17638507109151647
DES,Gaia16aki,0.07393,37.69622,0.0899,123.73159647166982,37.544050447535895,37.688670304521594,37.560220613154726,37.62063482031851,37.587203233711264,0.04315278617536933,0.1521695524641018
DES,2007kh,0.05032,36.64724,0.1981,25.48185551736958,36.684411180195795,36.830600944133025,36.70076217356599,36.74894393257138,36.539742496877274,-0.14466868331852112,-0.03717118019579857
DES,1871023,0.1484,39.93288,192.4317,2.7005160755028622e-05,39.13184425602876,39.27172609564657,39.1474693800012,39.24051102159635,39.81907121643162,0.6872269604028602,0.8010357439712408
DES,1317666,0.14136,39.34775,0.1421,49.523558604445924,39.01935210448262,39.15966851824336,39.03502717621348,39.12534703134891,39.234394228404874,0.21504212392225242,0.3283978955173765
DES,1293758,0.14812,39.29882,0.0844,140.383189955302,39.12746706077937,39.26736613317009,39.14309416523129,39.23602892503215,39.18502923395328,0.05756217317391332,0.17135293922063255
DES,1283923,0.14631,39.46035,0.1576,40.26127960009277,39.098982263651166,39.238992836164016,39.114622182610574,39.20686329732028,39.346675704361175,0.24769344071000887,0.3613677363488321
DES,1324938,0.19847,40.74201,192.8023,2.6901443175957055e-05,39.81198448214157,39.948851542120686,39.827263346043786,39.937662953710976,40.62497929746838,0.8129948153268103,0.9300255178584322
DES,1261193,0.19246,39.86546,0.2171,21.216822988682313,39.739408407758766,39.87663045454898,39.75472802128397,39.86322278568213,39.748816030701235,0.009407622942468663,0.1260515922412324
DES,1247420,0.15026,39.18191,0.1013,97.4498352610535,39.160725588953525,39.30049306144384,39.17633756961608,39.27008634649067,39.06798152860914,-0.09274406034438698,0.021184411046476725
